Magic_Item_ID	Type	Rarity	Roll_Min	Roll_Max	Item	Decision_Type	Info_1	Info_2	Active
magic:arcana:common:bead-of-nourishment	Arcana	Common	1.0	2.0	Bead of Nourishment	none			1
magic:arcana:common:bead-of-refreshment	Arcana	Common	3.0	4.0	Bead of Refreshment	none			1
magic:arcana:common:candle-of-the-deep	Arcana	Common	5.0	7.0	Candle of the Deep	none			1
magic:arcana:common:cloak-of-billowing	Arcana	Common	8.0	10.0	Cloak of Billowing	none			1
magic:arcana:common:cloak-of-many-fashions	Arcana	Common	11.0	13.0	Cloak of Many Fashions	none			1
magic:arcana:common:clothes-of-mending	Arcana	Common	14.0	15.0	Clothes of Mending	none			1
magic:arcana:common:dark-shard-amulet	Arcana	Common	16.0	17.0	Dark Shard Amulet	none			1
magic:arcana:common:enduring-spellbook	Arcana	Common	18.0	19.0	Enduring Spellbook	none			1
magic:arcana:common:ersatz-eye	Arcana	Common	20.0	21.0	Ersatz Eye	none			1
magic:arcana:common:hat-of-vermin	Arcana	Common	22.0	24.0	Hat of Vermin	none			1
magic:arcana:common:hat-of-wizardry	Arcana	Common	25.0	27.0	Hat of Wizardry	none			1
magic:arcana:common:heward-s-handy-spice-pouch	Arcana	Common	28.0	29.0	Heward’s Handy Spice Pouch	none			1
magic:arcana:common:horn-of-silent-alarm	Arcana	Common	30.0	31.0	Horn of Silent Alarm	none			1
magic:arcana:common:instrument-of-illusions	Arcana	Common	32.0	33.0	Instrument of Illusions	none			1
magic:arcana:common:instrument-of-scribing	Arcana	Common	34.0	35.0	Instrument of Scribing	none			1
magic:arcana:common:lock-of-trickery	Arcana	Common	36.0	37.0	Lock of Trickery	none			1
magic:arcana:common:mystery-key	Arcana	Common	38.0	40.0	Mystery Key	none			1
magic:arcana:common:orb-of-direction	Arcana	Common	41.0	42.0	Orb of Direction	none			1
magic:arcana:common:orb-of-time	Arcana	Common	43.0	44.0	Orb of Time	none			1
