Relation_Type	Source_ID	Target_ID	Active	Sort_Order	Notes
ITEM_CONTAINER	item:object:abacus	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:abacus	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:tool-roll	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alchemist-s-supplies	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alms-box	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:alms-box	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:pocket	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:pouch	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:amulet	container:chest	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:antimatter-rifle	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arbalest	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arrow	container:quiver	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:arrow	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:assault-rifle	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-exandria	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-bullets	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bad-news-bullets	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:satchel	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bagpipes	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:ball-bearings-bag-of-1-000	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:ball-bearings-bag-of-1-000	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:battleaxe	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:bundle	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:sack	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bedroll	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:pocket	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:pouch	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bell	container:chest	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bellows-cannister	container:satchel	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bellows-cannister	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:birdpipes	container:satchel	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:birdpipes	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:sack	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bit-and-bridle	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-pistol	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-pistol	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-rifle	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-rifle	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blackpowder-rifle	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blanket	container:bundle	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blanket	container:sack	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blanket	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blessed-stake	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blessed-stake	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:block-and-tackle	container:crate	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:block-and-tackle	container:cart	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blowgun	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blowgun	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blowgun-needles	container:crossbow-bolt-case	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blowgun-needles	container:pouch	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blowgun-needles	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-exandria	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-exandria	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-exandria	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-grim-hollow	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-grim-hollow	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-grim-hollow	container:cart	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-bullets	container:pouch	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-bullets	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-hand	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:blunderbuss-hand	container:crate	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bolt	container:crossbow-bolt-case	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bolt	container:quiver	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:bolt	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:book	container:satchel	true	1.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:book	container:chest	true	2.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:book	container:crate	true	3.0	Migrated from Allowed_Containers
ITEM_CONTAINER	item:object:boomerang	container:weapon-rack	true	1.0	Migrated from Allowed_Containers
